num_decks,shuffle_point,hands_played,shoes_played,EV_per_hand,net_profit,win_rate,loss_rate,push_rate
1,0.25,76028,10000,-0.1159,-8810.0,0.4317,0.4851,0.0832
1,0.33,68660,10000,-0.0414,-2825.0,0.4355,0.4816,0.0829
1,0.5,51775,10000,-0.0185,-810.0,0.4357,0.4804,0.0839
2,0.25,147416,10000,-0.0685,-9955.0,0.4343,0.4815,0.0842
2,0.33,132791,10000,-0.1,-13235.0,0.4322,0.4828,0.085
2,0.5,99733,10000,-0.0182,-1700.0,0.4358,0.4787,0.0855
4,0.25,290520,10000,-0.128,-37055.0,0.4313,0.4842,0.0845
4,0.33,261374,10000,-0.1382,-36130.0,0.431,0.4835,0.0855
4,0.5,195182,10000,-0.1618,-31530.0,0.4302,0.4852,0.0846
6,0.25,433674,10000,-0.1284,-55700.0,0.4321,0.4832,0.0848
6,0.33,389708,10000,-0.1377,-53595.0,0.4312,0.484,0.0849
6,0.5,290484,10000,-0.1529,-44305.0,0.4311,0.4841,0.0848
8,0.25,576855,10000,-0.1174,-67625.0,0.4318,0.4828,0.0854
8,0.33,516180,10000,-0.0995,-51365.0,0.4326,0.4819,0.0855
8,0.5,386017,10000,-0.1248,-48090.0,0.4322,0.4835,0.0843
